HEADER_TIME_STAMP,START_TIME,STOP_TIME,BATTERY_LEVEL,BATTERY_CHARGING
2015-11-02 15:00:26.737,2015-11-02 15:00:26.724,,80,NO
2015-11-02 15:00:51.115,2015-11-02 15:00:51.113,,80,NO
2015-11-02 15:02:07.514,2015-11-02 15:02:07.511,,80,NO
2015-11-02 15:02:51.104,2015-11-02 15:02:51.103,,80,NO
2015-11-02 15:03:51.104,2015-11-02 15:03:51.100,,80,NO
2015-11-02 15:04:51.136,2015-11-02 15:04:51.134,,80,NO
2015-11-02 15:05:51.111,2015-11-02 15:05:51.109,,80,NO
2015-11-02 15:06:51.122,2015-11-02 15:06:51.120,,79,NO
2015-11-02 15:07:51.108,2015-11-02 15:07:51.107,,79,NO
2015-11-02 15:08:51.118,2015-11-02 15:08:51.112,,79,NO
2015-11-02 15:09:56.504,2015-11-02 15:09:56.502,,79,NO
2015-11-02 15:10:51.095,2015-11-02 15:10:51.094,,79,NO
2015-11-02 15:11:51.095,2015-11-02 15:11:51.093,,79,NO
2015-11-02 15:12:51.116,2015-11-02 15:12:51.114,,79,NO
2015-11-02 15:13:51.097,2015-11-02 15:13:51.095,,79,NO
2015-11-02 15:14:51.099,2015-11-02 15:14:51.097,,78,NO
2015-11-02 15:15:51.164,2015-11-02 15:15:51.161,,78,NO
2015-11-02 15:16:51.156,2015-11-02 15:16:51.154,,78,NO
2015-11-02 15:17:51.120,2015-11-02 15:17:51.117,,78,NO
2015-11-02 15:18:51.123,2015-11-02 15:18:51.120,,78,NO
2015-11-02 15:19:51.096,2015-11-02 15:19:51.094,,78,NO
2015-11-02 15:20:51.101,2015-11-02 15:20:51.099,,78,NO
2015-11-02 15:21:56.348,2015-11-02 15:21:56.342,,78,NO
2015-11-02 15:22:51.108,2015-11-02 15:22:51.106,,77,NO
2015-11-02 15:23:51.107,2015-11-02 15:23:51.098,,77,NO
2015-11-02 15:24:51.117,2015-11-02 15:24:51.107,,77,NO
2015-11-02 15:26:17.582,2015-11-02 15:26:17.580,,77,NO
2015-11-02 15:26:51.099,2015-11-02 15:26:51.097,,77,NO
2015-11-02 15:27:51.117,2015-11-02 15:27:51.107,,77,NO
2015-11-02 15:28:51.102,2015-11-02 15:28:51.099,,77,NO
2015-11-02 15:29:51.107,2015-11-02 15:29:51.105,,77,NO
2015-11-02 15:30:51.097,2015-11-02 15:30:51.095,,76,NO
2015-11-02 15:31:51.097,2015-11-02 15:31:51.095,,76,NO
2015-11-02 15:32:51.129,2015-11-02 15:32:51.127,,76,NO
2015-11-02 15:33:51.111,2015-11-02 15:33:51.109,,76,NO
2015-11-02 15:34:58.341,2015-11-02 15:34:58.339,,76,NO
2015-11-02 15:35:51.134,2015-11-02 15:35:51.131,,76,NO
2015-11-02 15:36:51.107,2015-11-02 15:36:51.102,,76,NO
2015-11-02 15:37:51.123,2015-11-02 15:37:51.118,,76,NO
2015-11-02 15:39:12.497,2015-11-02 15:39:12.489,,75,NO
2015-11-02 15:39:51.107,2015-11-02 15:39:51.101,,75,NO
2015-11-02 15:40:51.107,2015-11-02 15:40:51.104,,75,NO
2015-11-02 15:41:51.111,2015-11-02 15:41:51.109,,75,NO
2015-11-02 15:43:11.262,2015-11-02 15:43:11.260,,75,NO
2015-11-02 15:43:51.097,2015-11-02 15:43:51.089,,75,NO
2015-11-02 15:44:51.109,2015-11-02 15:44:51.107,,75,NO
2015-11-02 15:45:51.108,2015-11-02 15:45:51.096,,75,NO
2015-11-02 15:47:10.034,2015-11-02 15:47:10.030,,74,NO
2015-11-02 15:47:51.131,2015-11-02 15:47:51.129,,74,NO
2015-11-02 15:48:52.471,2015-11-02 15:48:52.469,,74,NO
2015-11-02 15:49:51.103,2015-11-02 15:49:51.101,,74,NO
2015-11-02 15:51:24.267,2015-11-02 15:51:24.257,,74,NO
2015-11-02 15:51:51.107,2015-11-02 15:51:51.101,,74,NO
2015-11-02 15:52:51.118,2015-11-02 15:52:51.115,,74,NO
2015-11-02 15:53:51.101,2015-11-02 15:53:51.099,,74,NO
2015-11-02 15:54:51.128,2015-11-02 15:54:51.123,,73,NO
2015-11-02 15:55:51.112,2015-11-02 15:55:51.110,,73,NO
2015-11-02 15:56:51.108,2015-11-02 15:56:51.106,,73,NO
2015-11-02 15:57:51.126,2015-11-02 15:57:51.124,,73,NO
2015-11-02 15:58:51.109,2015-11-02 15:58:51.108,,73,NO
