HEADER_TIME_STAMP,START_TIME,STOP_TIME,LABEL_NAME,LABEL_ID,RATING_TIME_STAMP,RATING_INTENSITY,RATING_CONFIDENCE
2015-11-02 15:01:59.039,2015-11-02 15:00:00.000,2015-11-02 15:01:59.021,Standing,l13011419151518,2015-11-02 14:59:54.866,,
2015-11-02 15:01:59.975,2015-11-02 15:00:00.000,2015-11-02 15:01:59.963,MBTA,l13011419151518,2015-11-02 14:59:55.423,,
2015-11-02 15:01:59.982,2015-11-02 15:00:54.210,2015-11-02 15:01:59.963,Telling Story,l13011419151518,2015-11-02 15:00:54.210,,
2015-11-02 15:01:59.989,2015-11-02 15:01:56.063,2015-11-02 15:01:59.963,Stairs,l13011419151518,2015-11-02 15:01:56.063,,
2015-11-02 15:01:59.997,2015-11-02 15:01:56.606,2015-11-02 15:01:59.963,Down,l13011419151518,2015-11-02 15:01:56.606,,
2015-11-02 15:02:00.010,2015-11-02 15:01:59.044,2015-11-02 15:01:59.963,Walking,l13011419151518,2015-11-02 15:01:59.044,,
2015-11-02 15:02:19.980,2015-11-02 15:02:03.205,2015-11-02 15:02:19.975,Outdoors,l13011419151518,2015-11-02 15:02:03.205,,
2015-11-02 15:02:25.304,2015-11-02 15:02:02.485,2015-11-02 15:02:25.279,MBTA,l13011419151518,2015-11-02 15:02:02.485,,
2015-11-02 15:02:26.883,2015-11-02 15:02:00.578,2015-11-02 15:02:26.879,Walking,l13011419151518,2015-11-02 15:02:00.578,,
2015-11-02 15:03:22.694,2015-11-02 15:02:19.984,2015-11-02 15:03:22.689,Stop Light,l13011419151518,2015-11-02 15:02:19.984,,
2015-11-02 15:03:22.703,2015-11-02 15:02:24.707,2015-11-02 15:03:22.689,Telling Story,l13011419151518,2015-11-02 15:02:24.707,,
2015-11-02 15:03:22.710,2015-11-02 15:02:26.888,2015-11-02 15:03:22.689,Standing,l13011419151518,2015-11-02 15:02:26.888,,
2015-11-02 15:09:49.203,2015-11-02 15:03:23.728,2015-11-02 15:09:49.193,Outdoors,l13011419151518,2015-11-02 15:03:23.728,,
2015-11-02 15:09:49.227,2015-11-02 15:03:24.414,2015-11-02 15:09:49.193,Walking,l13011419151518,2015-11-02 15:03:24.414,,
2015-11-02 15:09:49.241,2015-11-02 15:03:28.004,2015-11-02 15:09:49.193,Telling Story,l13011419151518,2015-11-02 15:03:28.004,,
2015-11-02 15:10:31.091,2015-11-02 15:09:51.272,2015-11-02 15:10:31.085,Walking,l13011419151518,2015-11-02 15:09:51.272,,
2015-11-02 15:10:31.099,2015-11-02 15:10:16.750,2015-11-02 15:10:31.085,Vending Machine,l13011419151518,2015-11-02 15:10:16.750,,
2015-11-02 15:10:31.111,2015-11-02 15:10:28.565,2015-11-02 15:10:31.085,Upper Body Movement,l13011419151518,2015-11-02 15:10:28.565,,
2015-11-02 15:12:01.369,2015-11-02 15:10:56.273,2015-11-02 15:12:01.364,Outdoors,l13011419151518,2015-11-02 15:10:56.273,,
2015-11-02 15:12:02.192,2015-11-02 15:10:54.404,2015-11-02 15:12:02.187,Walking,l13011419151518,2015-11-02 15:10:54.404,,
2015-11-02 15:13:36.140,2015-11-02 15:12:04.649,2015-11-02 15:13:36.129,Walking,l13011419151518,2015-11-02 15:12:04.649,,
2015-11-02 15:13:36.159,2015-11-02 15:12:05.703,2015-11-02 15:13:36.129,Stairs,l13011419151518,2015-11-02 15:12:05.703,,
2015-11-02 15:13:36.177,2015-11-02 15:12:06.525,2015-11-02 15:13:36.129,Up,l13011419151518,2015-11-02 15:12:06.525,,
2015-11-02 15:13:36.187,2015-11-02 15:12:46.462,2015-11-02 15:13:36.129,Telling Story,l13011419151518,2015-11-02 15:12:46.462,,
2015-11-02 15:13:37.536,2015-11-02 15:13:36.820,2015-11-02 15:13:37.527,Standing,l13011419151518,2015-11-02 15:13:36.820,,
2015-11-02 15:13:51.629,2015-11-02 15:13:37.539,2015-11-02 15:13:51.624,Walking,l13011419151518,2015-11-02 15:13:37.539,,
2015-11-02 15:16:31.093,2015-11-02 15:16:31.086,2015-11-02 15:16:31.088,Sitting,l13011419151518,2015-11-02 15:16:31.086,,
2015-11-02 15:16:33.367,2015-11-02 15:16:30.141,2015-11-02 15:16:33.363,2 mph,l13011419151518,2015-11-02 15:16:30.141,,
