------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.2 Firmware v1.4.0 date format M/d/yyyy at 100 Hz  Filter Normal -----------
Serial Number: TASACTIGRAPHSPECTRUM
Start Time 18:00:00
Start Date 01/01/2010
Epoch Period (hh:mm:ss) 00:00:00
Download Time 19:00:00
Download Date 01/01/2010
Current Memory Address: 0
Current Battery Voltage: 4.19     Mode = 12
--------------------------------------------------
Timestamp,Accelerometer X,Accelerometer Y,Accelerometer Z
01/01/2010 18:00:00.000,0,0,0
01/01/2010 18:00:00.009,0.309,0.309,0.309
01/01/2010 18:00:00.019,0.5878,0.5878,0.5878
01/01/2010 18:00:00.029,0.809,0.809,0.809
01/01/2010 18:00:00.039,0.9511,0.9511,0.9511
01/01/2010 18:00:00.049,1,1,1
01/01/2010 18:00:00.059,0.9511,0.9511,0.9511
01/01/2010 18:00:00.069,0.809,0.809,0.809
01/01/2010 18:00:00.079,0.5878,0.5878,0.5878
01/01/2010 18:00:00.089,0.309,0.309,0.309
01/01/2010 18:00:00.099,0,0,0
01/01/2010 18:00:00.109,-0.309,-0.309,-0.309
01/01/2010 18:00:00.119,-0.5878,-0.5878,-0.5878
01/01/2010 18:00:00.130,-0.809,-0.809,-0.809
01/01/2010 18:00:00.140,-0.9511,-0.9511,-0.9511
01/01/2010 18:00:00.150,-1,-1,-1
01/01/2010 18:00:00.160,-0.9511,-0.9511,-0.9511
01/01/2010 18:00:00.170,-0.809,-0.809,-0.809
01/01/2010 18:00:00.180,-0.5878,-0.5878,-0.5878
01/01/2010 18:00:00.190,-0.309,-0.309,-0.309
01/01/2010 18:00:00.200,0,0,0
01/01/2010 18:00:00.210,0.309,0.309,0.309
01/01/2010 18:00:00.220,0.5878,0.5878,0.5878
01/01/2010 18:00:00.230,0.809,0.809,0.809
01/01/2010 18:00:00.240,0.9511,0.9511,0.9511
01/01/2010 18:00:00.250,1,1,1
01/01/2010 18:00:00.259,0.9511,0.9511,0.9511
01/01/2010 18:00:00.269,0.809,0.809,0.809
01/01/2010 18:00:00.279,0.5878,0.5878,0.5878
01/01/2010 18:00:00.289,0.309,0.309,0.309
01/01/2010 18:00:00.299,0,0,0
01/01/2010 18:00:00.309,-0.309,-0.309,-0.309
01/01/2010 18:00:00.319,-0.5878,-0.5878,-0.5878
01/01/2010 18:00:00.329,-0.809,-0.809,-0.809
01/01/2010 18:00:00.339,-0.9511,-0.9511,-0.9511
01/01/2010 18:00:00.349,-1,-1,-1
01/01/2010 18:00:00.359,-0.9511,-0.9511,-0.9511
01/01/2010 18:00:00.369,-0.809,-0.809,-0.809
01/01/2010 18:00:00.380,-0.5878,-0.5878,-0.5878
01/01/2010 18:00:00.390,-0.309,-0.309,-0.309
01/01/2010 18:00:00.400,0,0,0
01/01/2010 18:00:00.410,0.309,0.309,0.309
01/01/2010 18:00:00.420,0.5878,0.5878,0.5878
01/01/2010 18:00:00.430,0.809,0.809,0.809
01/01/2010 18:00:00.440,0.9511,0.9511,0.9511
01/01/2010 18:00:00.450,1,1,1
01/01/2010 18:00:00.460,0.9511,0.9511,0.9511
01/01/2010 18:00:00.470,0.809,0.809,0.809
01/01/2010 18:00:00.480,0.5878,0.5878,0.5878
01/01/2010 18:00:00.490,0.309,0.309,0.309
01/01/2010 18:00:00.500,0,0,0
01/01/2010 18:00:00.509,-0.309,-0.309,-0.309
01/01/2010 18:00:00.519,-0.5878,-0.5878,-0.5878
01/01/2010 18:00:00.529,-0.809,-0.809,-0.809
01/01/2010 18:00:00.539,-0.9511,-0.9511,-0.9511
01/01/2010 18:00:00.549,-1,-1,-1
01/01/2010 18:00:00.559,-0.9511,-0.9511,-0.9511
01/01/2010 18:00:00.569,-0.809,-0.809,-0.809
01/01/2010 18:00:00.579,-0.5878,-0.5878,-0.5878
01/01/2010 18:00:00.589,-0.309,-0.309,-0.309
01/01/2010 18:00:00.599,0,0,0
01/01/2010 18:00:00.609,0.309,0.309,0.309
01/01/2010 18:00:00.619,0.5878,0.5878,0.5878
01/01/2010 18:00:00.630,0.809,0.809,0.809
01/01/2010 18:00:00.640,0.9511,0.9511,0.9511
01/01/2010 18:00:00.650,1,1,1
01/01/2010 18:00:00.660,0.9511,0.9511,0.9511
01/01/2010 18:00:00.670,0.809,0.809,0.809
01/01/2010 18:00:00.680,0.5878,0.5878,0.5878
01/01/2010 18:00:00.690,0.309,0.309,0.309
01/01/2010 18:00:00.700,0,0,0
01/01/2010 18:00:00.710,-0.309,-0.309,-0.309
01/01/2010 18:00:00.720,-0.5878,-0.5878,-0.5878
01/01/2010 18:00:00.730,-0.809,-0.809,-0.809
01/01/2010 18:00:00.740,-0.9511,-0.9511,-0.9511
01/01/2010 18:00:00.750,-1,-1,-1
01/01/2010 18:00:00.759,-0.9511,-0.9511,-0.9511
01/01/2010 18:00:00.769,-0.809,-0.809,-0.809
01/01/2010 18:00:00.779,-0.5878,-0.5878,-0.5878
01/01/2010 18:00:00.789,-0.309,-0.309,-0.309
01/01/2010 18:00:00.799,0,0,0
01/01/2010 18:00:00.809,0.309,0.309,0.309
01/01/2010 18:00:00.819,0.5878,0.5878,0.5878
01/01/2010 18:00:00.829,0.809,0.809,0.809
01/01/2010 18:00:00.839,0.9511,0.9511,0.9511
01/01/2010 18:00:00.849,1,1,1
01/01/2010 18:00:00.859,0.9511,0.9511,0.9511
01/01/2010 18:00:00.869,0.809,0.809,0.809
01/01/2010 18:00:00.880,0.5878,0.5878,0.5878
01/01/2010 18:00:00.890,0.309,0.309,0.309
01/01/2010 18:00:00.900,0,0,0
01/01/2010 18:00:00.910,-0.309,-0.309,-0.309
01/01/2010 18:00:00.920,-0.5878,-0.5878,-0.5878
01/01/2010 18:00:00.930,-0.809,-0.809,-0.809
01/01/2010 18:00:00.940,-0.9511,-0.9511,-0.9511
01/01/2010 18:00:00.950,-1,-1,-1
01/01/2010 18:00:00.960,-0.9511,-0.9511,-0.9511
01/01/2010 18:00:00.970,-0.809,-0.809,-0.809
01/01/2010 18:00:00.980,-0.5878,-0.5878,-0.5878
01/01/2010 18:00:00.990,-0.309,-0.309,-0.309
01/01/2010 18:00:01.000,0,0,0
01/01/2010 18:00:01.009,0.309,0.309,0.309
01/01/2010 18:00:01.019,0.5878,0.5878,0.5878
01/01/2010 18:00:01.029,0.809,0.809,0.809
01/01/2010 18:00:01.039,0.9511,0.9511,0.9511
01/01/2010 18:00:01.049,1,1,1
01/01/2010 18:00:01.059,0.9511,0.9511,0.9511
01/01/2010 18:00:01.069,0.809,0.809,0.809
01/01/2010 18:00:01.079,0.5878,0.5878,0.5878
01/01/2010 18:00:01.089,0.309,0.309,0.309
01/01/2010 18:00:01.099,0,0,0
01/01/2010 18:00:01.109,-0.309,-0.309,-0.309
01/01/2010 18:00:01.119,-0.5878,-0.5878,-0.5878
01/01/2010 18:00:01.130,-0.809,-0.809,-0.809
01/01/2010 18:00:01.140,-0.9511,-0.9511,-0.9511
01/01/2010 18:00:01.150,-1,-1,-1
01/01/2010 18:00:01.160,-0.9511,-0.9511,-0.9511
01/01/2010 18:00:01.170,-0.809,-0.809,-0.809
01/01/2010 18:00:01.180,-0.5878,-0.5878,-0.5878
01/01/2010 18:00:01.190,-0.309,-0.309,-0.309
01/01/2010 18:00:01.200,0,0,0
01/01/2010 18:00:01.210,0.309,0.309,0.309
01/01/2010 18:00:01.220,0.5878,0.5878,0.5878
01/01/2010 18:00:01.230,0.809,0.809,0.809
01/01/2010 18:00:01.240,0.9511,0.9511,0.9511
01/01/2010 18:00:01.250,1,1,1
01/01/2010 18:00:01.259,0.9511,0.9511,0.9511
01/01/2010 18:00:01.269,0.809,0.809,0.809
01/01/2010 18:00:01.279,0.5878,0.5878,0.5878
01/01/2010 18:00:01.289,0.309,0.309,0.309
01/01/2010 18:00:01.299,0,0,0
01/01/2010 18:00:01.309,-0.309,-0.309,-0.309
01/01/2010 18:00:01.319,-0.5878,-0.5878,-0.5878
01/01/2010 18:00:01.329,-0.809,-0.809,-0.809
01/01/2010 18:00:01.339,-0.9511,-0.9511,-0.9511
01/01/2010 18:00:01.349,-1,-1,-1
01/01/2010 18:00:01.359,-0.9511,-0.9511,-0.9511
01/01/2010 18:00:01.369,-0.809,-0.809,-0.809
01/01/2010 18:00:01.380,-0.5878,-0.5878,-0.5878
01/01/2010 18:00:01.390,-0.309,-0.309,-0.309
01/01/2010 18:00:01.400,0,0,0
01/01/2010 18:00:01.410,0.309,0.309,0.309
01/01/2010 18:00:01.420,0.5878,0.5878,0.5878
01/01/2010 18:00:01.430,0.809,0.809,0.809
01/01/2010 18:00:01.440,0.9511,0.9511,0.9511
01/01/2010 18:00:01.450,1,1,1
01/01/2010 18:00:01.460,0.9511,0.9511,0.9511
01/01/2010 18:00:01.470,0.809,0.809,0.809
01/01/2010 18:00:01.480,0.5878,0.5878,0.5878
01/01/2010 18:00:01.490,0.309,0.309,0.309
01/01/2010 18:00:01.500,0,0,0
01/01/2010 18:00:01.509,-0.309,-0.309,-0.309
01/01/2010 18:00:01.519,-0.5878,-0.5878,-0.5878
01/01/2010 18:00:01.529,-0.809,-0.809,-0.809
01/01/2010 18:00:01.539,-0.9511,-0.9511,-0.9511
01/01/2010 18:00:01.549,-1,-1,-1
01/01/2010 18:00:01.559,-0.9511,-0.9511,-0.9511
01/01/2010 18:00:01.569,-0.809,-0.809,-0.809
01/01/2010 18:00:01.579,-0.5878,-0.5878,-0.5878
01/01/2010 18:00:01.589,-0.309,-0.309,-0.309
01/01/2010 18:00:01.599,0,0,0
01/01/2010 18:00:01.609,0.309,0.309,0.309
01/01/2010 18:00:01.619,0.5878,0.5878,0.5878
01/01/2010 18:00:01.630,0.809,0.809,0.809
01/01/2010 18:00:01.640,0.9511,0.9511,0.9511
01/01/2010 18:00:01.650,1,1,1
01/01/2010 18:00:01.660,0.9511,0.9511,0.9511
01/01/2010 18:00:01.670,0.809,0.809,0.809
01/01/2010 18:00:01.680,0.5878,0.5878,0.5878
01/01/2010 18:00:01.690,0.309,0.309,0.309
01/01/2010 18:00:01.700,0,0,0
01/01/2010 18:00:01.710,-0.309,-0.309,-0.309
01/01/2010 18:00:01.720,-0.5878,-0.5878,-0.5878
01/01/2010 18:00:01.730,-0.809,-0.809,-0.809
01/01/2010 18:00:01.740,-0.9511,-0.9511,-0.9511
01/01/2010 18:00:01.750,-1,-1,-1
01/01/2010 18:00:01.759,-0.9511,-0.9511,-0.9511
01/01/2010 18:00:01.769,-0.809,-0.809,-0.809
01/01/2010 18:00:01.779,-0.5878,-0.5878,-0.5878
01/01/2010 18:00:01.789,-0.309,-0.309,-0.309
01/01/2010 18:00:01.799,0,0,0
01/01/2010 18:00:01.809,0.309,0.309,0.309
01/01/2010 18:00:01.819,0.5878,0.5878,0.5878
01/01/2010 18:00:01.829,0.809,0.809,0.809
01/01/2010 18:00:01.839,0.9511,0.9511,0.9511
01/01/2010 18:00:01.849,1,1,1
01/01/2010 18:00:01.859,0.9511,0.9511,0.9511
01/01/2010 18:00:01.869,0.809,0.809,0.809
01/01/2010 18:00:01.880,0.5878,0.5878,0.5878
01/01/2010 18:00:01.890,0.309,0.309,0.309
01/01/2010 18:00:01.900,0,0,0
01/01/2010 18:00:01.910,-0.309,-0.309,-0.309
01/01/2010 18:00:01.920,-0.5878,-0.5878,-0.5878
01/01/2010 18:00:01.930,-0.809,-0.809,-0.809
01/01/2010 18:00:01.940,-0.9511,-0.9511,-0.9511
01/01/2010 18:00:01.950,-1,-1,-1
01/01/2010 18:00:01.960,-0.9511,-0.9511,-0.9511
01/01/2010 18:00:01.970,-0.809,-0.809,-0.809
01/01/2010 18:00:01.980,-0.5878,-0.5878,-0.5878
01/01/2010 18:00:01.990,-0.309,-0.309,-0.309
01/01/2010 18:00:02.000,0,0,0
01/01/2010 18:00:02.009,0.309,0.309,0.309
01/01/2010 18:00:02.019,0.5878,0.5878,0.5878
01/01/2010 18:00:02.029,0.809,0.809,0.809
01/01/2010 18:00:02.039,0.9511,0.9511,0.9511
01/01/2010 18:00:02.049,1,1,1
01/01/2010 18:00:02.059,0.9511,0.9511,0.9511
01/01/2010 18:00:02.069,0.809,0.809,0.809
01/01/2010 18:00:02.079,0.5878,0.5878,0.5878
01/01/2010 18:00:02.089,0.309,0.309,0.309
01/01/2010 18:00:02.099,0,0,0
01/01/2010 18:00:02.109,-0.309,-0.309,-0.309
01/01/2010 18:00:02.119,-0.5878,-0.5878,-0.5878
01/01/2010 18:00:02.130,-0.809,-0.809,-0.809
01/01/2010 18:00:02.140,-0.9511,-0.9511,-0.9511
01/01/2010 18:00:02.150,-1,-1,-1
01/01/2010 18:00:02.160,-0.9511,-0.9511,-0.9511
01/01/2010 18:00:02.170,-0.809,-0.809,-0.809
01/01/2010 18:00:02.180,-0.5878,-0.5878,-0.5878
01/01/2010 18:00:02.190,-0.309,-0.309,-0.309
01/01/2010 18:00:02.200,0,0,0
01/01/2010 18:00:02.210,0.309,0.309,0.309
01/01/2010 18:00:02.220,0.5878,0.5878,0.5878
01/01/2010 18:00:02.230,0.809,0.809,0.809
01/01/2010 18:00:02.240,0.9511,0.9511,0.9511
01/01/2010 18:00:02.250,1,1,1
