------------ Data File Created By ActiGraph GT3X ActiLife v6.13.2 Firmware v4.4.0 date format M/d/yyyy Filter Normal -----------
Serial Number: MAT2C47090050
Start Time 11:08:00
Start Date 12/17/2014
Epoch Period (hh:mm:ss) 00:00:05
Download Time 11:08:59
Download Date 12/17/2014
Current Memory Address: 0
Current Battery Voltage: 4.19     Mode = 12
--------------------------------------------------
timestamp,axis1,axis2,axis3,vectormagnitude
2014-12-17 11:08:00,262,753,144,810.18
2014-12-17 11:08:05,179,729,371,837.33
2014-12-17 11:08:10,185,733,447,878.25
2014-12-17 11:08:15,146,708,474,864.44
2014-12-17 11:08:20,154,728,300,802.31
2014-12-17 11:08:25,242,753,469,919.53
2014-12-17 11:08:30,178,749,485,909.9
2014-12-17 11:08:35,152,772,497,930.64
2014-12-17 11:08:40,109,725,467,869.25
2014-12-17 11:08:45,128,717,412,836.79
2014-12-17 11:08:50,134,721,329,803.76
2014-12-17 11:08:55,96,657,242,706.7
