------------ Data File Created By ActiGraph wGT3XBT ActiLife v6.13.2 Firmware v1.3.0 date format M/d/yyyy Filter Normal -----------
Serial Number: MOS2A45130448
Start Time 11:08:00
Start Date 12/17/2014
Epoch Period (hh:mm:ss) 00:00:05
Download Time 11:08:59
Download Date 12/17/2014
Current Memory Address: 0
Current Battery Voltage: 4.19     Mode = 12
--------------------------------------------------
timestamp,axis1,axis2,axis3,vectormagnitude
2014-12-17 11:08:00,1086,195,76,1105.98
2014-12-17 11:08:05,907,381,82,987.18
2014-12-17 11:08:10,865,347,117,939.32
2014-12-17 11:08:15,800,177,108,826.43
2014-12-17 11:08:20,794,247,153,845.49
2014-12-17 11:08:25,784,304,136,851.8
2014-12-17 11:08:30,784,306,133,852.05
2014-12-17 11:08:35,818,278,107,870.55
2014-12-17 11:08:40,829,304,158,897.01
2014-12-17 11:08:45,868,276,123,919.09
2014-12-17 11:08:50,881,287,137,936.64
2014-12-17 11:08:55,778,253,132,828.68
