------------ Data File Created By ActiGraph wGT3XPlus ActiLife v6.13.2 Firmware v2.2.1 date format M/d/yyyy Filter Normal -----------
Serial Number: CLE2B41120128
Start Time 11:08:00
Start Date 12/17/2014
Epoch Period (hh:mm:ss) 00:00:05
Download Time 11:08:59
Download Date 12/17/2014
Current Memory Address: 0
Current Battery Voltage: 4.19     Mode = 12
--------------------------------------------------
timestamp,axis1,axis2,axis3,vectormagnitude
2014-12-17 11:08:00,904,290,169,964.3
2014-12-17 11:08:05,803,243,257,877.44
2014-12-17 11:08:10,796,154,291,861.4
2014-12-17 11:08:15,786,164,171,820.93
2014-12-17 11:08:20,792,191,159,830.08
2014-12-17 11:08:25,756,274,188,825.81
2014-12-17 11:08:30,791,165,262,849.44
2014-12-17 11:08:35,748,147,209,790.44
2014-12-17 11:08:40,729,134,282,793.05
2014-12-17 11:08:45,774,191,280,844.96
2014-12-17 11:08:50,809,143,251,859.03
2014-12-17 11:08:55,680,162,183,722.59
