------------ Data File Created By ActiGraph Link ActiLife v6.13.2 Firmware v1.1.0 date format M/d/yyyy Filter Normal -----------
Serial Number: TAS1C32140067
Start Time 11:08:00
Start Date 12/17/2014
Epoch Period (hh:mm:ss) 00:00:05
Download Time 11:09:00
Download Date 12/17/2014
Current Memory Address: 0
Current Battery Voltage: 4.19     Mode = 12
--------------------------------------------------
timestamp,axis1,axis2,axis3,vectormagnitude
2014-12-17 11:08:00,147,1000,90,1014.75
2014-12-17 11:08:05,308,940,183,1005.96
2014-12-17 11:08:10,357,962,205,1046.38
2014-12-17 11:08:15,244,955,241,1014.71
2014-12-17 11:08:20,222,991,161,1028.24
2014-12-17 11:08:25,313,893,224,972.42
2014-12-17 11:08:30,243,920,284,993.03
2014-12-17 11:08:35,265,889,249,960.49
2014-12-17 11:08:40,252,921,283,995.91
2014-12-17 11:08:45,275,839,222,910.4
2014-12-17 11:08:50,226,898,215,950.63
2014-12-17 11:08:55,178,901,164,932.94
