------------ Data File Created By ActiGraph GT3X+ ActiLife v6.11.5 Firmware v4.4.0 date format M/d/yyyy at 30 Hz  Filter Normal -----------
Serial Number: MAT2C47090050
Start Time 11:08:00
Start Date 12/17/2014
Epoch Period (hh:mm:ss) 00:00:00
Download Time 11:08:59
Download Date 12/17/2014
Current Memory Address: 0
Current Battery Voltage: 4.19     Mode = 12
--------------------------------------------------
Timestamp,Accelerometer X,Accelerometer Y,Accelerometer Z
12/17/2014 11:08:00.003,0.87,-0.192,0.126
12/17/2014 11:08:00.038,0.113,-0.004,0.035
12/17/2014 11:08:00.071,-0.351,0.073,-0.069
12/17/2014 11:08:00.104,-0.046,0.239,-0.065
12/17/2014 11:08:00.138,-0.172,-0.141,-0.16
12/17/2014 11:08:00.171,0.163,0.517,0.87
12/17/2014 11:08:00.203,1.494,0.222,0.16
12/17/2014 11:08:00.237,3,1.103,1.42
12/17/2014 11:08:00.270,2.046,0.312,-0.113
12/17/2014 11:08:00.303,1.854,-0.115,0.147
12/17/2014 11:08:00.338,1.213,0.239,0.026
12/17/2014 11:08:00.371,0.142,0.423,-0.342
12/17/2014 11:08:00.404,-0.649,0.321,0.446
12/17/2014 11:08:00.437,-0.686,-0.128,-0.199
12/17/2014 11:08:00.470,0.008,-0.239,0.035
12/17/2014 11:08:00.503,0.824,0.393,-0.221
12/17/2014 11:08:00.538,0.799,0.658,1.022
12/17/2014 11:08:00.571,1.335,-0.021,-0.442
12/17/2014 11:08:00.604,1.854,0.547,-0.199
12/17/2014 11:08:00.638,1.912,0.791,-0.541
12/17/2014 11:08:00.671,2.46,0.56,-0.411
12/17/2014 11:08:00.703,1.841,-0.316,-0.152
12/17/2014 11:08:00.737,0.711,-0.513,-0.13
12/17/2014 11:08:00.770,-0.234,0.111,0.398
12/17/2014 11:08:00.803,-0.038,0.209,-0.052
12/17/2014 11:08:00.838,0.067,0.35,-0.052
12/17/2014 11:08:00.871,-0.054,0.128,-0.026
12/17/2014 11:08:00.904,0.268,0.581,0.974
12/17/2014 11:08:00.937,1.339,0.291,0.117
12/17/2014 11:08:00.970,3,1.086,1.502
12/17/2014 11:08:01.003,2.067,-0.004,-0.195
12/17/2014 11:08:01.038,1.854,-0.043,0.152
12/17/2014 11:08:01.071,1.008,0.423,-0.052
12/17/2014 11:08:01.104,0.318,0.44,-0.182
12/17/2014 11:08:01.138,-0.414,0.013,-0.061
12/17/2014 11:08:01.171,-0.565,-0.073,0.065
12/17/2014 11:08:01.203,0.142,-0.128,-0.009
12/17/2014 11:08:01.237,0.749,0.38,-0.199
12/17/2014 11:08:01.270,0.598,0.5,0.81
12/17/2014 11:08:01.303,1.912,0.081,-0.212
12/17/2014 11:08:01.338,2.259,0.607,-0.113
12/17/2014 11:08:01.371,2.071,0.765,-0.364
12/17/2014 11:08:01.404,2.444,0.021,0
12/17/2014 11:08:01.437,1.289,-0.59,0.134
12/17/2014 11:08:01.470,0.234,-0.124,0.117
12/17/2014 11:08:01.503,-0.305,0.252,-0.121
12/17/2014 11:08:01.538,-0.046,0.359,0
12/17/2014 11:08:01.571,-0.268,0.098,-0.035
12/17/2014 11:08:01.604,-0.096,0.192,0.186
12/17/2014 11:08:01.638,1.398,1.137,0.325
12/17/2014 11:08:01.671,3,1.171,0.117
12/17/2014 11:08:01.703,3,0.329,0.221
12/17/2014 11:08:01.737,1.958,-0.034,-0.061
12/17/2014 11:08:01.770,1.335,0.269,-0.065
12/17/2014 11:08:01.803,0.406,0.449,-0.182
12/17/2014 11:08:01.838,-0.243,0.111,-0.229
12/17/2014 11:08:01.871,-0.828,-0.021,-0.009
12/17/2014 11:08:01.904,-0.046,-0.192,0.065
12/17/2014 11:08:01.937,0.427,0.269,-0.303
12/17/2014 11:08:01.970,0.854,0.697,0.991
12/17/2014 11:08:02.003,2.071,-0.291,0.173
12/17/2014 11:08:02.038,2.268,0.372,-0.026
12/17/2014 11:08:02.071,2.096,0.838,-0.424
12/17/2014 11:08:02.104,2.147,0.282,-0.186
