------------ Data File Created By ActiGraph GT3X+ ActiLife v6.11.5 Firmware v1.3.0 date format M/d/yyyy at 80 Hz  Filter Normal -----------
Serial Number: MOS2A45130448
Start Time 11:08:00
Start Date 12/17/2014
Epoch Period (hh:mm:ss) 00:00:00
Download Time 11:08:59
Download Date 12/17/2014
Current Memory Address: 0
Current Battery Voltage: 4.19     Mode = 12
--------------------------------------------------
Timestamp,Accelerometer X,Accelerometer Y,Accelerometer Z
12/17/2014 11:08:00.002,-0.031,-0.602,0.07
12/17/2014 11:08:00.013,-0.008,-0.387,-0.113
12/17/2014 11:08:00.026,0.012,-0.109,-0.355
12/17/2014 11:08:00.039,0.063,0.078,-0.285
12/17/2014 11:08:00.052,0.074,0.305,0.023
12/17/2014 11:08:00.063,-0.164,0.793,-0.109
12/17/2014 11:08:00.076,-0.332,1.277,-0.539
12/17/2014 11:08:00.088,0.031,1.352,-0.613
12/17/2014 11:08:00.101,0.223,2.316,0.09
12/17/2014 11:08:00.114,-0.051,3,0.359
12/17/2014 11:08:00.127,-0.512,3,0.121
12/17/2014 11:08:00.138,-0.156,2.535,-0.254
12/17/2014 11:08:00.151,0.098,2.066,-0.254
12/17/2014 11:08:00.164,0.203,1.824,-0.215
12/17/2014 11:08:00.177,0.25,1.848,-0.094
12/17/2014 11:08:00.188,0.336,2.184,-0.027
12/17/2014 11:08:00.201,0.473,2.375,0.207
12/17/2014 11:08:00.213,0.383,2.457,0.496
12/17/2014 11:08:00.226,0.109,2.164,0.613
12/17/2014 11:08:00.239,-0.203,1.746,0.453
12/17/2014 11:08:00.252,-0.273,1.305,0.32
12/17/2014 11:08:00.263,-0.27,0.824,0.164
12/17/2014 11:08:00.276,-0.266,0.398,-0.066
12/17/2014 11:08:00.289,-0.164,-0.039,-0.234
12/17/2014 11:08:00.302,-0.004,-0.262,-0.27
12/17/2014 11:08:00.313,0.031,-0.457,-0.246
12/17/2014 11:08:00.326,0.141,-0.684,-0.227
12/17/2014 11:08:00.338,0.227,-0.789,-0.207
12/17/2014 11:08:00.351,0.316,-0.84,-0.176
12/17/2014 11:08:00.364,0.297,-0.762,-0.16
12/17/2014 11:08:00.377,0.156,-0.637,-0.125
12/17/2014 11:08:00.388,0.004,-0.449,-0.086
12/17/2014 11:08:00.401,-0.07,-0.148,-0.137
12/17/2014 11:08:00.414,0.055,0.043,-0.344
12/17/2014 11:08:00.427,0.328,0.242,-0.801
12/17/2014 11:08:00.438,0.406,0.438,-1.277
12/17/2014 11:08:00.451,0.004,1.223,-1.129
12/17/2014 11:08:00.463,0.488,2.988,0.297
12/17/2014 11:08:00.476,1.316,3,1.422
12/17/2014 11:08:00.489,1.316,3,0.484
12/17/2014 11:08:00.502,0.578,3,-0.012
12/17/2014 11:08:00.513,0.133,2.684,0.074
12/17/2014 11:08:00.526,-0.23,2.426,0.18
12/17/2014 11:08:00.539,-0.398,2.398,0.27
12/17/2014 11:08:00.552,-0.551,2.359,0.191
12/17/2014 11:08:00.563,-0.516,2.137,0.16
12/17/2014 11:08:00.576,-0.293,1.781,0.039
12/17/2014 11:08:00.588,-0.105,1.398,-0.105
12/17/2014 11:08:00.601,0.051,1.039,-0.055
12/17/2014 11:08:00.614,0.223,0.641,0.066
12/17/2014 11:08:00.627,0.316,0.273,0.059
12/17/2014 11:08:00.638,0.262,-0.125,0.047
12/17/2014 11:08:00.651,0.008,-0.449,-0.246
12/17/2014 11:08:00.664,-0.137,-0.73,-0.461
12/17/2014 11:08:00.677,0.098,-1.113,-0.406
12/17/2014 11:08:00.688,0.078,-1.102,-0.129
12/17/2014 11:08:00.701,0.059,-0.832,0.105
12/17/2014 11:08:00.713,0.094,-0.734,0.121
12/17/2014 11:08:00.726,0.125,-0.441,-0.191
12/17/2014 11:08:00.739,0.039,-0.156,-0.34
12/17/2014 11:08:00.752,0.031,0.086,-0.211
12/17/2014 11:08:00.763,-0.203,0.703,-0.465
12/17/2014 11:08:00.776,-0.234,1.348,-0.844
12/17/2014 11:08:00.789,0.379,1.449,-0.379
12/17/2014 11:08:00.802,0.512,2.398,0.492
12/17/2014 11:08:00.813,-0.438,3,0.613
12/17/2014 11:08:00.826,-0.754,2.859,0.082
12/17/2014 11:08:00.838,-0.523,2.434,-0.242
12/17/2014 11:08:00.851,-0.125,2.191,-0.242
12/17/2014 11:08:00.864,0.059,2.094,-0.125
12/17/2014 11:08:00.877,0.176,2.023,-0.031
12/17/2014 11:08:00.888,0.363,2.113,-0.023
12/17/2014 11:08:00.901,0.535,2.234,0.137
12/17/2014 11:08:00.914,0.461,2.18,0.371
12/17/2014 11:08:00.927,0.191,2.051,0.488
12/17/2014 11:08:00.938,-0.16,1.762,0.469
12/17/2014 11:08:00.951,-0.293,1.414,0.41
12/17/2014 11:08:00.963,-0.285,0.961,0.246
12/17/2014 11:08:00.976,-0.352,0.48,0.078
12/17/2014 11:08:00.989,-0.344,-0.023,-0.102
12/17/2014 11:08:01.002,-0.051,-0.328,-0.238
12/17/2014 11:08:01.013,0.152,-0.512,-0.316
12/17/2014 11:08:01.026,0.227,-0.723,-0.301
12/17/2014 11:08:01.039,0.281,-0.914,-0.141
12/17/2014 11:08:01.052,0.328,-0.98,-0.008
12/17/2014 11:08:01.063,0.266,-0.836,-0.055
12/17/2014 11:08:01.076,0.168,-0.563,-0.129
12/17/2014 11:08:01.088,0.086,-0.34,-0.199
12/17/2014 11:08:01.101,0.031,-0.125,-0.273
12/17/2014 11:08:01.114,0.145,0.055,-0.473
12/17/2014 11:08:01.127,0.469,0.254,-0.988
12/17/2014 11:08:01.138,0.18,0.496,-1.484
12/17/2014 11:08:01.151,-0.082,1.547,-1.09
12/17/2014 11:08:01.164,0.547,3,0.551
12/17/2014 11:08:01.177,1.383,3,1.371
12/17/2014 11:08:01.188,1.234,3,0.402
12/17/2014 11:08:01.201,0.504,3,-0.082
12/17/2014 11:08:01.213,0.043,2.613,0.016
12/17/2014 11:08:01.226,-0.383,2.316,0.168
12/17/2014 11:08:01.239,-0.621,2.203,0.242
12/17/2014 11:08:01.252,-0.645,2.27,0.184
12/17/2014 11:08:01.263,-0.555,2.164,0.195
12/17/2014 11:08:01.276,-0.371,1.887,0.172
12/17/2014 11:08:01.289,-0.09,1.605,0.035
12/17/2014 11:08:01.302,0.074,1.242,-0.074
12/17/2014 11:08:01.313,0.156,0.895,-0.055
12/17/2014 11:08:01.326,0.332,0.473,0.055
12/17/2014 11:08:01.338,0.305,-0.035,0.043
12/17/2014 11:08:01.351,0.133,-0.27,-0.078
12/17/2014 11:08:01.364,-0.066,-0.586,-0.281
12/17/2014 11:08:01.377,-0.004,-0.848,-0.387
12/17/2014 11:08:01.388,0.074,-1.109,-0.258
12/17/2014 11:08:01.401,0.008,-0.91,-0.063
12/17/2014 11:08:01.414,-0.012,-0.766,0.078
12/17/2014 11:08:01.427,0.078,-0.691,-0.035
12/17/2014 11:08:01.438,0.074,-0.41,-0.273
12/17/2014 11:08:01.451,0,-0.102,-0.254
12/17/2014 11:08:01.463,-0.172,0.375,-0.313
12/17/2014 11:08:01.476,-0.289,1.008,-0.668
12/17/2014 11:08:01.489,0.086,1.184,-0.57
12/17/2014 11:08:01.502,0.34,1.734,0.152
12/17/2014 11:08:01.513,-0.246,3,0.742
12/17/2014 11:08:01.526,-1.039,3,0.453
12/17/2014 11:08:01.539,-0.539,2.781,0.117
12/17/2014 11:08:01.552,0.039,2.18,-0.047
12/17/2014 11:08:01.563,0.266,1.879,-0.078
12/17/2014 11:08:01.576,0.277,1.805,-0.039
12/17/2014 11:08:01.588,0.426,2.02,0.004
12/17/2014 11:08:01.601,0.602,2.219,0.152
12/17/2014 11:08:01.614,0.613,2.313,0.398
12/17/2014 11:08:01.627,0.328,2.309,0.566
12/17/2014 11:08:01.638,-0.113,2.008,0.461
12/17/2014 11:08:01.651,-0.238,1.566,0.363
12/17/2014 11:08:01.664,-0.309,1.121,0.273
12/17/2014 11:08:01.677,-0.434,0.531,0.121
12/17/2014 11:08:01.688,-0.332,0.086,-0.094
12/17/2014 11:08:01.701,-0.086,-0.27,-0.266
12/17/2014 11:08:01.713,0.121,-0.418,-0.34
12/17/2014 11:08:01.726,0.211,-0.598,-0.285
12/17/2014 11:08:01.739,0.348,-0.766,-0.156
12/17/2014 11:08:01.752,0.375,-0.859,-0.082
12/17/2014 11:08:01.763,0.305,-0.785,-0.094
12/17/2014 11:08:01.776,0.113,-0.637,-0.125
12/17/2014 11:08:01.789,-0.039,-0.398,-0.145
12/17/2014 11:08:01.802,-0.121,-0.133,-0.203
12/17/2014 11:08:01.813,-0.012,0.055,-0.344
12/17/2014 11:08:01.826,0.395,0.223,-0.68
12/17/2014 11:08:01.838,0.48,0.355,-1.242
12/17/2014 11:08:01.851,0.02,1.063,-1.313
12/17/2014 11:08:01.864,0.344,2.68,-0.09
12/17/2014 11:08:01.877,1.148,3,1.438
12/17/2014 11:08:01.888,1.586,3,0.652
12/17/2014 11:08:01.901,0.859,3,-0.098
12/17/2014 11:08:01.914,0.285,2.684,0
12/17/2014 11:08:01.927,-0.078,2.32,0.148
12/17/2014 11:08:01.938,-0.332,2.223,0.242
12/17/2014 11:08:01.951,-0.563,2.277,0.184
12/17/2014 11:08:01.963,-0.711,2.219,0.133
12/17/2014 11:08:01.976,-0.641,1.945,0.113
12/17/2014 11:08:01.989,-0.379,1.578,-0.004
12/17/2014 11:08:02.002,-0.156,1.188,-0.059
12/17/2014 11:08:02.013,0.109,0.832,0.063
12/17/2014 11:08:02.026,0.207,0.363,0.086
12/17/2014 11:08:02.039,0.234,0.004,-0.027
12/17/2014 11:08:02.052,0.133,-0.363,-0.188
12/17/2014 11:08:02.063,0.105,-0.73,-0.418
12/17/2014 11:08:02.076,0.156,-1.117,-0.414
12/17/2014 11:08:02.088,0.16,-1.227,-0.25
12/17/2014 11:08:02.101,0.117,-0.992,-0.055
12/17/2014 11:08:02.114,0.121,-0.836,0.066
12/17/2014 11:08:02.127,0.242,-0.652,-0.035
12/17/2014 11:08:02.138,0.227,-0.203,-0.262
12/17/2014 11:08:02.151,0.148,0.215,-0.156
12/17/2014 11:08:02.164,0.023,0.523,-0.035
12/17/2014 11:08:02.177,-0.281,1.047,-0.523
12/17/2014 11:08:02.188,-0.078,1.285,-0.512
12/17/2014 11:08:02.201,0.395,1.949,0.137
12/17/2014 11:08:02.213,0.055,2.566,0.445
12/17/2014 11:08:02.226,-0.297,2.648,0.117
12/17/2014 11:08:02.239,-0.363,2.637,-0.215
12/17/2014 11:08:02.252,-0.309,2.434,-0.242
12/17/2014 11:08:02.263,-0.137,2.246,-0.207
12/17/2014 11:08:02.276,-0.094,2.109,-0.191
12/17/2014 11:08:02.289,-0.031,1.996,-0.152
12/17/2014 11:08:02.302,0.012,2.121,-0.027
12/17/2014 11:08:02.313,0.109,2.32,0.309
12/17/2014 11:08:02.326,-0.078,2.371,0.512
12/17/2014 11:08:02.338,-0.23,2.328,0.496
12/17/2014 11:08:02.351,-0.309,1.895,0.484
12/17/2014 11:08:02.364,-0.18,1.375,0.367
12/17/2014 11:08:02.377,-0.18,0.77,0.184
12/17/2014 11:08:02.388,-0.164,0.301,-0.152
12/17/2014 11:08:02.401,0.051,-0.137,-0.398
12/17/2014 11:08:02.414,0.289,-0.355,-0.441
12/17/2014 11:08:02.427,0.309,-0.469,-0.277
12/17/2014 11:08:02.438,0.301,-0.703,-0.07
12/17/2014 11:08:02.451,0.316,-0.93,0.027
12/17/2014 11:08:02.463,0.277,-1,-0.031
12/17/2014 11:08:02.476,0.125,-0.91,-0.098
12/17/2014 11:08:02.489,-0.035,-0.738,-0.109
12/17/2014 11:08:02.502,-0.109,-0.449,-0.145
12/17/2014 11:08:02.513,-0.063,-0.117,-0.332
12/17/2014 11:08:02.526,0.238,0.148,-0.66
12/17/2014 11:08:02.539,0.402,0.371,-1.105
12/17/2014 11:08:02.552,0.309,0.859,-1.078
12/17/2014 11:08:02.563,0.547,2.57,-0.27
12/17/2014 11:08:02.576,1.328,3,1.211
12/17/2014 11:08:02.588,1.758,3,0.805
12/17/2014 11:08:02.601,0.832,3,0.078
12/17/2014 11:08:02.614,0.273,2.512,-0.078
12/17/2014 11:08:02.627,-0.137,2.254,-0.074
12/17/2014 11:08:02.638,-0.422,2.32,0.137
12/17/2014 11:08:02.651,-0.625,2.41,0.234
