------------ Data File Created By ActiGraph GT3X+ ActiLife v6.11.5 Firmware v2.2.1 date format M/d/yyyy at 80 Hz  Filter Normal -----------
Serial Number: CLE2B41120128
Start Time 11:08:00
Start Date 12/17/2014
Epoch Period (hh:mm:ss) 00:00:00
Download Time 11:08:59
Download Date 12/17/2014
Current Memory Address: 0
Current Battery Voltage: 4.19     Mode = 12
--------------------------------------------------
Timestamp,Accelerometer X,Accelerometer Y,Accelerometer Z
12/17/2014 11:08:00.002,-0.557,-1.897,-0.05
12/17/2014 11:08:00.013,-0.642,-2.05,-0.015
12/17/2014 11:08:00.026,-0.513,-2.279,0.15
12/17/2014 11:08:00.039,-0.196,-2.317,0.179
12/17/2014 11:08:00.052,0.179,-2.188,0.302
12/17/2014 11:08:00.063,0.293,-1.883,0.287
12/17/2014 11:08:00.076,0.578,-1.765,0.258
12/17/2014 11:08:00.088,0.698,-1.457,0.17
12/17/2014 11:08:00.101,0.504,-0.713,0.029
12/17/2014 11:08:00.114,0.284,-0.12,-0.123
12/17/2014 11:08:00.127,0.047,0.123,-0.044
12/17/2014 11:08:00.138,-0.15,0.176,0.208
12/17/2014 11:08:00.151,-0.331,0.419,0.267
12/17/2014 11:08:00.164,-0.264,0.367,0.155
12/17/2014 11:08:00.177,-0.208,0.226,0.079
12/17/2014 11:08:00.188,-0.293,0.182,0.044
12/17/2014 11:08:00.201,-0.355,0.202,0.041
12/17/2014 11:08:00.213,-0.372,0.235,-0.026
12/17/2014 11:08:00.226,-0.226,0.223,-0.094
12/17/2014 11:08:00.239,-0.018,0.194,-0.073
12/17/2014 11:08:00.252,-0.167,0.182,-0.003
12/17/2014 11:08:00.263,-0.695,-0.191,-0.044
12/17/2014 11:08:00.276,-0.959,-0.613,0.217
12/17/2014 11:08:00.289,-0.434,-0.889,0.522
12/17/2014 11:08:00.302,-0.46,-2.021,0.469
12/17/2014 11:08:00.313,-0.663,-3,0.543
12/17/2014 11:08:00.326,-0.827,-3,0.977
12/17/2014 11:08:00.338,-0.76,-3,0.777
12/17/2014 11:08:00.351,-0.264,-2.724,0.179
12/17/2014 11:08:00.364,0.173,-2.411,0.003
12/17/2014 11:08:00.377,0.419,-2.302,0.018
12/17/2014 11:08:00.388,0.361,-2.167,0.038
12/17/2014 11:08:00.401,0.402,-2.062,0.026
12/17/2014 11:08:00.414,0.346,-1.724,0.018
12/17/2014 11:08:00.427,0.056,-1.279,-0.065
